"Tanggal","ID_Mahasiswa","Jenis_Kelamin","Program_Studi","Semester","IPK_Terakhir","Perangkat_Andal","Koneksi_Stabil","Jenis_Perangkat","Platform_Daring","Interaktif_Daring","Responsivitas_Dosen","Diskusi_Teman","Fitur_Interaktif","Motivasi_Daring","Materi_Menarik","Tujuan_Akademik","Faktor_Motivasi","Gangguan_Teknis","Fokus_Daring","Tantangan_Utama","Perlu_Ditingkatkan"
"19971","M0108","Perempuan","Sains Data",4,3.8,4,2,"Smartphone","Zoom",1,2,"Selalu","Chat",5,4,"Ya","Efisiensi","Tidak Pernah",4,"Kurang memahami materi sulit","Koneksi Internet"
"19517","M0109","Tidak ingin menyebutkan","Teknik Informatika",6,2.2,2,5,"Laptop","Zoom",2,4,"Tidak Pernah","Tidak Ada",4,3,"Tidak","Interaksi dosen","Kadang-kadang",4,"Tidak bisa diskusi tatap muka","Kualitas Perangkat, Interaksi Mahasiswa"
"19748","M0110","Laki-laki","Teknik Informatika",2,2.9,1,2,"Tablet","Zoom",5,5,"Jarang","Breakout Rooms",4,5,"Ya","Akses materi daring","Jarang",1,"Tidak bisa diskusi tatap muka","Lainnya"
"19512","M0111","Perempuan","Teknik Informatika",3,3.3,5,3,"Smartphone","Zoom",2,2,"Selalu","Chat",3,2,"Tidak","Fleksibilitas waktu","Kadang-kadang",2,"Tidak bisa diskusi tatap muka","Koneksi Internet, Interaksi Dosen, Kualitas Perangkat"
"19783","M0112","Laki-laki","Desain Produk",4,2.9,5,1,"Tablet","Google Meet",3,5,"Tidak Pernah","Tidak Ada",3,3,"Ya","Bisa belajar lebih dalam","Tidak Pernah",5,"Gangguan teknis","Lainnya, Kualitas Perangkat, Koneksi Internet"
"19362","M0113","Perempuan","Desain Produk",6,3.8,3,5,"Tablet","Zoom",3,2,"Selalu","Chat",2,5,"Ya","Interaksi dosen","Jarang",1,"Gangguan teknis","Interaksi Dosen, Kualitas Perangkat"
"19683","M0114","Tidak ingin menyebutkan","Teknik Perminyakan",3,2.8,4,3,"Smartphone","Google Meet",5,5,"Kadang-kadang","Polling",2,2,"Ya","Bisa belajar lebih dalam","Sering",5,"Kurang memahami materi sulit","Interaksi Dosen"
"19637","M0115","Perempuan","Teknik Informatika",1,3.1,1,1,"Laptop","Google Classroom",5,3,"Selalu","Tidak Ada",1,2,"Tidak","Bisa belajar lebih dalam","Kadang-kadang",3,"Sulit bertanya dengan bebas","Koneksi Internet, Kualitas Perangkat"
"19924","M0116","Perempuan","Teknik Informatika",4,3.3,2,4,"Tablet","Google Meet",2,2,"Sering","Polling",2,5,"Ya","Efisiensi","Jarang",1,"Sulit fokus","Interaksi Dosen, Interaksi Mahasiswa"
"19595","M0117","Tidak ingin menyebutkan","Teknik Perminyakan",4,2.6,3,4,"Tablet","Google Classroom",5,1,"Sering","Tidak Ada",2,4,"Ya","Bisa belajar lebih dalam","Kadang-kadang",5,"Sulit fokus","Interaksi Dosen, Interaksi Mahasiswa"
"19696","M0118","Laki-laki","Teknik Perminyakan",8,3.8,2,5,"Laptop","Google Meet",4,5,"Jarang","Breakout Rooms",2,3,"Tidak","Akses materi daring","Jarang",5,"Sulit bertanya dengan bebas","Kualitas Perangkat, Materi Kuliah"
"19396","M0119","Perempuan","Teknik Perminyakan",8,2.3,3,4,"Tablet","Google Meet",4,1,"Sering","Breakout Rooms",3,4,"Tidak","Bisa belajar lebih dalam","Jarang",4,"Kurang memahami materi sulit","Interaksi Dosen, Interaksi Mahasiswa, Materi Kuliah"
"19494","M0120","Tidak ingin menyebutkan","Teknik Pertambangan",5,3.1,4,2,"Laptop","Zoom",3,5,"Selalu","Breakout Rooms",1,4,"Ya","Akses materi daring","Kadang-kadang",1,"Tidak bisa diskusi tatap muka","Materi Kuliah, Kualitas Perangkat"
"19812","M0121","Tidak ingin menyebutkan","Sains Data",1,2.5,2,2,"Smartphone","Google Meet",5,5,"Jarang","Tidak Ada",3,1,"Ya","Fleksibilitas waktu","Tidak Pernah",3,"Kurang interaksi","Interaksi Mahasiswa"
"19917","M0122","Laki-laki","Desain Produk",7,2.1,3,1,"Tablet","Google Meet",1,1,"Tidak Pernah","Polling",5,2,"Ya","Interaksi dosen","Jarang",1,"Gangguan teknis","Kualitas Perangkat, Materi Kuliah"
"19946","M0123","Tidak ingin menyebutkan","Teknik Informatika",7,3.5,4,4,"Laptop","Google Meet",3,2,"Selalu","Tidak Ada",1,4,"Ya","Tugas yang menarik","Tidak Pernah",1,"Kurang memahami materi sulit","Kualitas Perangkat, Interaksi Dosen"
"19440","M0124","Laki-laki","Sains Data",3,3.2,2,1,"Tablet","Zoom",2,2,"Jarang","Chat",2,3,"Ya","Efisiensi","Tidak Pernah",5,"Koneksi internet lambat","Interaksi Mahasiswa, Lainnya, Koneksi Internet"
"20053","M0125","Laki-laki","Sains Data",8,2.7,4,2,"Smartphone","Google Meet",4,4,"Kadang-kadang","Breakout Rooms",1,2,"Tidak","Bisa belajar lebih dalam","Jarang",5,"Sulit fokus","Interaksi Mahasiswa, Kualitas Perangkat"
"19396","M0126","Tidak ingin menyebutkan","Sains Data",2,3.8,2,2,"Tablet","Google Meet",4,3,"Jarang","Polling",2,2,"Ya","Bisa belajar lebih dalam","Selalu",2,"Kurang interaksi","Lainnya, Koneksi Internet, Interaksi Mahasiswa"
"19553","M0127","Laki-laki","Desain Produk",2,3.2,5,2,"Laptop","Google Meet",1,5,"Tidak Pernah","Polling",1,4,"Tidak","Akses materi daring","Selalu",1,"Kurang interaksi","Interaksi Dosen, Lainnya, Koneksi Internet"
"20037","M0128","Laki-laki","Sains Data",8,3.9,1,2,"Smartphone","Google Classroom",2,3,"Kadang-kadang","Polling",1,1,"Tidak","Interaksi dosen","Selalu",5,"Kurang interaksi","Kualitas Perangkat, Lainnya"
"19643","M0129","Tidak ingin menyebutkan","Teknik Informatika",8,3.8,3,1,"Tablet","Zoom",1,4,"Sering","Chat",1,2,"Ya","Akses materi daring","Tidak Pernah",1,"Sulit bertanya dengan bebas","Interaksi Dosen, Kualitas Perangkat, Materi Kuliah"
"19963","M0130","Laki-laki","Teknik Pertambangan",8,2.8,3,2,"Smartphone","Google Classroom",2,1,"Selalu","Chat",5,5,"Ya","Interaksi dosen","Jarang",5,"Sulit fokus","Materi Kuliah, Koneksi Internet, Kualitas Perangkat"
"19857","M0131","Laki-laki","Teknik Informatika",8,3.4,4,2,"Smartphone","Zoom",3,2,"Kadang-kadang","Tidak Ada",4,5,"Tidak","Fleksibilitas waktu","Selalu",1,"Kurang interaksi","Kualitas Perangkat, Lainnya"
"19701","M0132","Laki-laki","Desain Produk",4,3.7,5,5,"Tablet","Zoom",4,2,"Kadang-kadang","Tidak Ada",1,2,"Tidak","Fleksibilitas waktu","Tidak Pernah",5,"Koneksi internet lambat","Lainnya, Kualitas Perangkat"
"19667","M0133","Perempuan","Teknik Informatika",8,3.8,4,2,"Laptop","Zoom",1,2,"Sering","Polling",2,1,"Ya","Interaksi dosen","Kadang-kadang",3,"Kurang interaksi","Koneksi Internet, Interaksi Dosen"
"19816","M0134","Perempuan","Teknik Informatika",4,2.3,2,3,"Tablet","Google Classroom",5,5,"Jarang","Breakout Rooms",1,3,"Ya","Bisa belajar lebih dalam","Jarang",1,"Kurang memahami materi sulit","Materi Kuliah, Kualitas Perangkat, Lainnya"
"19377","M0135","Perempuan","Desain Produk",7,2.1,4,5,"Tablet","Zoom",3,5,"Jarang","Chat",5,5,"Tidak","Efisiensi","Kadang-kadang",5,"Koneksi internet lambat","Interaksi Dosen, Koneksi Internet, Interaksi Mahasiswa"
"19552","M0136","Perempuan","Teknik Pertambangan",2,4,4,2,"Smartphone","Google Classroom",1,5,"Sering","Polling",1,3,"Tidak","Efisiensi","Kadang-kadang",3,"Sulit bertanya dengan bebas","Koneksi Internet"
"19521","M0137","Tidak ingin menyebutkan","Teknik Perminyakan",5,2.8,2,4,"Smartphone","Google Meet",2,1,"Kadang-kadang","Tidak Ada",5,5,"Ya","Efisiensi","Kadang-kadang",3,"Koneksi internet lambat","Interaksi Dosen, Kualitas Perangkat, Interaksi Mahasiswa"
"19409","M0138","Tidak ingin menyebutkan","Desain Produk",5,3.4,5,5,"Tablet","Google Classroom",1,1,"Sering","Tidak Ada",2,2,"Tidak","Fleksibilitas waktu","Selalu",5,"Kurang interaksi","Interaksi Dosen, Koneksi Internet"
"19891","M0139","Perempuan","Teknik Perminyakan",1,3.1,2,4,"Smartphone","Google Classroom",4,4,"Kadang-kadang","Tidak Ada",5,1,"Ya","Bisa belajar lebih dalam","Selalu",1,"Sulit fokus","Interaksi Mahasiswa"
"19534","M0140","Laki-laki","Teknik Pertambangan",6,2.8,4,1,"Smartphone","Google Classroom",3,4,"Sering","Tidak Ada",2,3,"Tidak","Efisiensi","Kadang-kadang",3,"Sulit fokus","Lainnya, Kualitas Perangkat, Interaksi Mahasiswa"
"19911","M0141","Tidak ingin menyebutkan","Sains Data",1,3.4,5,2,"Laptop","Zoom",2,3,"Jarang","Chat",5,3,"Tidak","Efisiensi","Tidak Pernah",1,"Tidak bisa diskusi tatap muka","Lainnya"
"19441","M0142","Laki-laki","Teknik Pertambangan",8,3.8,2,2,"Laptop","Google Classroom",5,3,"Tidak Pernah","Polling",5,3,"Tidak","Akses materi daring","Sering",2,"Sulit fokus","Lainnya, Interaksi Mahasiswa, Interaksi Dosen"
"19880","M0143","Tidak ingin menyebutkan","Teknik Informatika",5,2.2,3,4,"Laptop","Zoom",2,1,"Selalu","Chat",1,5,"Ya","Fleksibilitas waktu","Kadang-kadang",5,"Kurang interaksi","Materi Kuliah, Koneksi Internet, Lainnya"
"19990","M0144","Tidak ingin menyebutkan","Sains Data",7,2.7,1,4,"Tablet","Google Classroom",4,5,"Tidak Pernah","Tidak Ada",4,1,"Tidak","Efisiensi","Sering",4,"Sulit fokus","Interaksi Mahasiswa"
"19749","M0145","Tidak ingin menyebutkan","Desain Produk",3,3.6,2,5,"Smartphone","Google Meet",5,1,"Jarang","Breakout Rooms",3,5,"Ya","Akses materi daring","Tidak Pernah",3,"Sulit fokus","Interaksi Mahasiswa"
"19659","M0146","Laki-laki","Teknik Perminyakan",6,2.4,2,1,"Tablet","Google Classroom",4,5,"Selalu","Breakout Rooms",4,5,"Ya","Bisa belajar lebih dalam","Tidak Pernah",3,"Gangguan teknis","Interaksi Dosen"
"19954","M0147","Perempuan","Teknik Pertambangan",8,3.2,5,2,"Laptop","Google Meet",5,2,"Tidak Pernah","Chat",5,3,"Ya","Akses materi daring","Tidak Pernah",3,"Tidak bisa diskusi tatap muka","Interaksi Dosen, Interaksi Mahasiswa, Lainnya"
"20063","M0148","Tidak ingin menyebutkan","Teknik Pertambangan",1,2.8,1,3,"Smartphone","Zoom",4,2,"Jarang","Polling",5,4,"Tidak","Efisiensi","Selalu",4,"Sulit bertanya dengan bebas","Kualitas Perangkat"
"19976","M0149","Tidak ingin menyebutkan","Sains Data",3,3.2,2,2,"Tablet","Zoom",5,2,"Kadang-kadang","Breakout Rooms",1,3,"Tidak","Tugas yang menarik","Tidak Pernah",4,"Koneksi internet lambat","Interaksi Mahasiswa"
"19946","M0150","Laki-laki","Teknik Pertambangan",3,3.1,3,5,"Smartphone","Google Classroom",5,1,"Sering","Polling",5,3,"Tidak","Fleksibilitas waktu","Jarang",2,"Koneksi internet lambat","Materi Kuliah, Kualitas Perangkat"
"19787","M0151","Laki-laki","Teknik Pertambangan",3,3.4,4,2,"Tablet","Google Classroom",2,1,"Tidak Pernah","Breakout Rooms",5,3,"Tidak","Efisiensi","Kadang-kadang",1,"Koneksi internet lambat","Interaksi Mahasiswa"
"20067","M0152","Laki-laki","Teknik Perminyakan",4,3.6,2,1,"Smartphone","Zoom",2,3,"Sering","Polling",4,4,"Ya","Interaksi dosen","Selalu",4,"Sulit fokus","Koneksi Internet, Kualitas Perangkat, Interaksi Mahasiswa"
"20069","M0153","Tidak ingin menyebutkan","Sains Data",1,2.9,2,5,"Smartphone","Zoom",2,5,"Kadang-kadang","Breakout Rooms",5,4,"Tidak","Bisa belajar lebih dalam","Sering",1,"Kurang memahami materi sulit","Koneksi Internet, Lainnya, Kualitas Perangkat"
"19785","M0154","Tidak ingin menyebutkan","Desain Produk",6,2.7,1,5,"Laptop","Google Meet",2,2,"Selalu","Chat",2,1,"Ya","Akses materi daring","Tidak Pernah",1,"Kurang memahami materi sulit","Koneksi Internet, Kualitas Perangkat, Interaksi Mahasiswa"
"20029","M0155","Laki-laki","Teknik Pertambangan",8,3.6,1,4,"Tablet","Google Classroom",2,1,"Sering","Polling",3,3,"Tidak","Tugas yang menarik","Sering",4,"Kurang interaksi","Interaksi Mahasiswa"
"19607","M0156","Laki-laki","Teknik Perminyakan",7,3,3,4,"Laptop","Google Classroom",4,4,"Selalu","Tidak Ada",3,4,"Ya","Fleksibilitas waktu","Tidak Pernah",1,"Gangguan teknis","Lainnya, Kualitas Perangkat, Materi Kuliah"
"19786","M0157","Perempuan","Teknik Pertambangan",7,3.5,4,4,"Smartphone","Zoom",4,1,"Kadang-kadang","Breakout Rooms",5,3,"Ya","Bisa belajar lebih dalam","Kadang-kadang",5,"Sulit bertanya dengan bebas","Materi Kuliah"
"19755","M0158","Tidak ingin menyebutkan","Teknik Pertambangan",5,3.7,4,4,"Smartphone","Google Meet",2,4,"Kadang-kadang","Breakout Rooms",2,2,"Tidak","Bisa belajar lebih dalam","Selalu",5,"Kurang memahami materi sulit","Interaksi Dosen, Koneksi Internet, Materi Kuliah"
"19885","M0159","Tidak ingin menyebutkan","Teknik Pertambangan",3,2.9,4,1,"Laptop","Google Meet",4,5,"Jarang","Polling",4,4,"Tidak","Bisa belajar lebih dalam","Selalu",2,"Tidak bisa diskusi tatap muka","Koneksi Internet"
"19738","M0160","Perempuan","Teknik Perminyakan",7,2.8,1,4,"Tablet","Zoom",5,2,"Sering","Breakout Rooms",4,5,"Tidak","Efisiensi","Jarang",2,"Sulit fokus","Interaksi Dosen, Materi Kuliah, Koneksi Internet"
"19902","M0161","Laki-laki","Teknik Perminyakan",8,3.7,4,5,"Smartphone","Google Meet",2,1,"Jarang","Breakout Rooms",1,3,"Ya","Akses materi daring","Sering",5,"Kurang interaksi","Materi Kuliah, Lainnya, Koneksi Internet"
"19397","M0162","Tidak ingin menyebutkan","Teknik Perminyakan",5,3.5,1,4,"Laptop","Zoom",5,5,"Selalu","Polling",3,2,"Tidak","Bisa belajar lebih dalam","Jarang",1,"Koneksi internet lambat","Lainnya"
"19879","M0163","Laki-laki","Teknik Pertambangan",4,3.2,1,5,"Tablet","Zoom",4,1,"Tidak Pernah","Chat",1,3,"Ya","Tugas yang menarik","Kadang-kadang",3,"Kurang memahami materi sulit","Lainnya, Interaksi Dosen"
"19830","M0164","Laki-laki","Teknik Perminyakan",1,3.4,3,3,"Tablet","Google Classroom",5,4,"Tidak Pernah","Chat",5,4,"Ya","Fleksibilitas waktu","Sering",4,"Tidak bisa diskusi tatap muka","Materi Kuliah, Koneksi Internet"
"19557","M0165","Tidak ingin menyebutkan","Teknik Perminyakan",5,3.5,2,2,"Laptop","Zoom",1,2,"Tidak Pernah","Polling",3,3,"Tidak","Tugas yang menarik","Jarang",3,"Sulit bertanya dengan bebas","Koneksi Internet, Kualitas Perangkat"
"19482","M0166","Perempuan","Teknik Informatika",4,2.5,1,4,"Smartphone","Zoom",2,5,"Sering","Chat",5,5,"Ya","Akses materi daring","Selalu",3,"Gangguan teknis","Koneksi Internet, Interaksi Dosen"
"19622","M0167","Tidak ingin menyebutkan","Teknik Pertambangan",6,2.6,1,4,"Tablet","Google Classroom",4,3,"Selalu","Chat",4,4,"Tidak","Akses materi daring","Jarang",2,"Sulit fokus","Koneksi Internet, Lainnya"
"19543","M0168","Tidak ingin menyebutkan","Teknik Pertambangan",1,2.4,2,3,"Laptop","Google Meet",3,1,"Kadang-kadang","Breakout Rooms",5,2,"Tidak","Fleksibilitas waktu","Selalu",2,"Sulit bertanya dengan bebas","Kualitas Perangkat, Interaksi Mahasiswa"
"19930","M0169","Tidak ingin menyebutkan","Teknik Informatika",7,3.9,5,2,"Laptop","Google Classroom",2,3,"Sering","Breakout Rooms",3,2,"Tidak","Interaksi dosen","Sering",1,"Koneksi internet lambat","Koneksi Internet"
"19609","M0170","Perempuan","Teknik Pertambangan",4,2.5,1,3,"Smartphone","Zoom",5,5,"Jarang","Tidak Ada",4,1,"Tidak","Tugas yang menarik","Tidak Pernah",2,"Koneksi internet lambat","Interaksi Mahasiswa, Materi Kuliah, Kualitas Perangkat"
"19815","M0171","Laki-laki","Desain Produk",1,3,5,3,"Smartphone","Google Meet",1,3,"Tidak Pernah","Polling",5,2,"Tidak","Interaksi dosen","Sering",1,"Gangguan teknis","Materi Kuliah, Koneksi Internet"
"19509","M0172","Tidak ingin menyebutkan","Teknik Pertambangan",8,2.1,5,5,"Laptop","Zoom",1,3,"Sering","Breakout Rooms",5,2,"Ya","Interaksi dosen","Jarang",3,"Koneksi internet lambat","Materi Kuliah"
"19411","M0173","Tidak ingin menyebutkan","Sains Data",1,3.6,5,5,"Smartphone","Zoom",4,5,"Jarang","Polling",3,5,"Ya","Bisa belajar lebih dalam","Tidak Pernah",5,"Tidak bisa diskusi tatap muka","Interaksi Mahasiswa, Kualitas Perangkat"
"19895","M0174","Perempuan","Desain Produk",7,2.8,5,4,"Smartphone","Google Classroom",2,1,"Selalu","Breakout Rooms",3,2,"Ya","Fleksibilitas waktu","Selalu",1,"Sulit fokus","Interaksi Mahasiswa, Interaksi Dosen"
"19592","M0175","Perempuan","Teknik Perminyakan",4,2.9,3,2,"Smartphone","Google Classroom",3,5,"Tidak Pernah","Chat",5,4,"Tidak","Akses materi daring","Sering",2,"Koneksi internet lambat","Interaksi Dosen"
"19646","M0176","Perempuan","Teknik Perminyakan",3,3.9,1,2,"Laptop","Zoom",2,2,"Sering","Chat",4,4,"Ya","Bisa belajar lebih dalam","Jarang",4,"Kurang memahami materi sulit","Interaksi Dosen, Materi Kuliah, Koneksi Internet"
"19542","M0177","Tidak ingin menyebutkan","Sains Data",1,2.8,2,3,"Tablet","Zoom",2,3,"Sering","Polling",3,3,"Tidak","Tugas yang menarik","Jarang",1,"Kurang memahami materi sulit","Materi Kuliah"
"19770","M0178","Tidak ingin menyebutkan","Sains Data",2,3.5,3,5,"Tablet","Google Classroom",2,3,"Tidak Pernah","Polling",4,4,"Ya","Efisiensi","Sering",1,"Koneksi internet lambat","Kualitas Perangkat, Materi Kuliah, Interaksi Mahasiswa"
"19984","M0179","Perempuan","Teknik Perminyakan",5,3.6,4,2,"Tablet","Zoom",1,3,"Tidak Pernah","Polling",4,3,"Tidak","Efisiensi","Sering",3,"Sulit bertanya dengan bebas","Koneksi Internet, Lainnya"
"19879","M0180","Laki-laki","Teknik Pertambangan",8,2.4,4,2,"Smartphone","Google Classroom",3,1,"Sering","Polling",4,1,"Ya","Bisa belajar lebih dalam","Jarang",4,"Sulit fokus","Materi Kuliah"
"19666","M0181","Laki-laki","Teknik Pertambangan",1,2.1,2,2,"Smartphone","Google Meet",1,2,"Tidak Pernah","Polling",4,1,"Ya","Interaksi dosen","Selalu",2,"Sulit fokus","Interaksi Dosen, Interaksi Mahasiswa, Materi Kuliah"
"19411","M0182","Laki-laki","Teknik Perminyakan",4,2.7,1,2,"Smartphone","Google Classroom",4,4,"Tidak Pernah","Polling",5,3,"Tidak","Efisiensi","Tidak Pernah",2,"Kurang interaksi","Interaksi Mahasiswa, Koneksi Internet, Kualitas Perangkat"
"19562","M0183","Perempuan","Desain Produk",6,3.4,2,2,"Laptop","Zoom",5,2,"Kadang-kadang","Polling",2,5,"Tidak","Tugas yang menarik","Kadang-kadang",4,"Sulit fokus","Interaksi Mahasiswa, Kualitas Perangkat"
"19894","M0184","Laki-laki","Sains Data",2,3.5,1,1,"Tablet","Google Meet",1,1,"Tidak Pernah","Tidak Ada",1,3,"Ya","Fleksibilitas waktu","Kadang-kadang",1,"Kurang memahami materi sulit","Materi Kuliah, Kualitas Perangkat"
"19921","M0185","Perempuan","Desain Produk",7,3.3,1,2,"Smartphone","Google Meet",4,2,"Selalu","Breakout Rooms",2,4,"Ya","Bisa belajar lebih dalam","Kadang-kadang",2,"Sulit fokus","Interaksi Mahasiswa, Kualitas Perangkat, Materi Kuliah"
"19748","M0186","Perempuan","Sains Data",8,3.9,3,1,"Laptop","Google Classroom",1,2,"Kadang-kadang","Polling",1,5,"Ya","Efisiensi","Selalu",4,"Sulit bertanya dengan bebas","Koneksi Internet, Interaksi Dosen, Kualitas Perangkat"
"19766","M0187","Tidak ingin menyebutkan","Sains Data",2,2,4,4,"Tablet","Google Meet",4,2,"Kadang-kadang","Polling",2,1,"Ya","Interaksi dosen","Selalu",5,"Kurang interaksi","Interaksi Mahasiswa, Lainnya"
"20084","M0188","Tidak ingin menyebutkan","Teknik Pertambangan",2,2.8,1,1,"Smartphone","Zoom",3,4,"Kadang-kadang","Tidak Ada",1,5,"Ya","Akses materi daring","Selalu",3,"Kurang memahami materi sulit","Kualitas Perangkat"
"19703","M0189","Tidak ingin menyebutkan","Teknik Perminyakan",3,3.3,1,5,"Smartphone","Google Meet",3,2,"Jarang","Breakout Rooms",2,4,"Ya","Bisa belajar lebih dalam","Kadang-kadang",4,"Sulit fokus","Interaksi Mahasiswa, Koneksi Internet, Kualitas Perangkat"
"19517","M0190","Tidak ingin menyebutkan","Teknik Pertambangan",2,2.2,3,1,"Laptop","Zoom",2,3,"Selalu","Chat",4,1,"Ya","Tugas yang menarik","Kadang-kadang",5,"Sulit fokus","Interaksi Mahasiswa, Lainnya"
"19825","M0191","Perempuan","Teknik Perminyakan",5,2,3,5,"Tablet","Google Classroom",1,2,"Tidak Pernah","Breakout Rooms",3,2,"Ya","Akses materi daring","Jarang",3,"Kurang memahami materi sulit","Interaksi Dosen"
"19866","M0192","Perempuan","Sains Data",8,2.3,1,4,"Smartphone","Google Classroom",2,1,"Kadang-kadang","Polling",2,2,"Ya","Bisa belajar lebih dalam","Sering",2,"Tidak bisa diskusi tatap muka","Koneksi Internet, Materi Kuliah, Interaksi Dosen"
"19414","M0193","Perempuan","Teknik Informatika",1,3.5,2,1,"Tablet","Google Meet",3,4,"Kadang-kadang","Tidak Ada",2,1,"Tidak","Interaksi dosen","Sering",2,"Kurang memahami materi sulit","Koneksi Internet"
"19814","M0194","Tidak ingin menyebutkan","Teknik Perminyakan",1,3.7,4,1,"Laptop","Google Classroom",5,1,"Jarang","Polling",2,2,"Ya","Interaksi dosen","Kadang-kadang",5,"Kurang interaksi","Materi Kuliah, Lainnya"
"19974","M0195","Tidak ingin menyebutkan","Teknik Perminyakan",7,2.6,5,2,"Smartphone","Google Classroom",2,5,"Kadang-kadang","Chat",5,4,"Ya","Bisa belajar lebih dalam","Selalu",5,"Tidak bisa diskusi tatap muka","Kualitas Perangkat"
"19714","M0196","Tidak ingin menyebutkan","Sains Data",8,2.5,4,4,"Smartphone","Google Meet",1,5,"Tidak Pernah","Breakout Rooms",1,2,"Ya","Efisiensi","Tidak Pernah",3,"Koneksi internet lambat","Koneksi Internet, Materi Kuliah, Interaksi Mahasiswa"
"19636","M0197","Laki-laki","Sains Data",2,2.5,5,1,"Laptop","Zoom",5,5,"Sering","Chat",3,4,"Tidak","Interaksi dosen","Kadang-kadang",2,"Sulit fokus","Kualitas Perangkat"
"19627","M0198","Tidak ingin menyebutkan","Sains Data",8,3.9,4,1,"Smartphone","Google Classroom",2,3,"Selalu","Chat",2,5,"Ya","Akses materi daring","Jarang",3,"Tidak bisa diskusi tatap muka","Interaksi Dosen, Koneksi Internet"
"20003","M0199","Laki-laki","Sains Data",3,3,2,3,"Tablet","Google Classroom",5,4,"Tidak Pernah","Polling",1,1,"Tidak","Akses materi daring","Selalu",5,"Kurang interaksi","Materi Kuliah, Koneksi Internet, Lainnya"
"19704","M0200","Tidak ingin menyebutkan","Teknik Informatika",8,3.4,5,2,"Laptop","Zoom",4,1,"Tidak Pernah","Chat",2,1,"Ya","Efisiensi","Tidak Pernah",5,"Sulit bertanya dengan bebas","Koneksi Internet"
"19486","M0201","Perempuan","Teknik Informatika",4,3.8,2,1,"Tablet","Zoom",5,2,"Tidak Pernah","Chat",5,4,"Ya","Interaksi dosen","Tidak Pernah",5,"Sulit bertanya dengan bebas","Koneksi Internet, Interaksi Mahasiswa"
"19575","M0202","Laki-laki","Sains Data",7,3.2,1,2,"Smartphone","Google Meet",4,5,"Tidak Pernah","Breakout Rooms",1,5,"Tidak","Interaksi dosen","Tidak Pernah",5,"Sulit bertanya dengan bebas","Interaksi Mahasiswa"
"19975","M0203","Laki-laki","Teknik Informatika",2,2.5,5,1,"Tablet","Zoom",4,1,"Sering","Tidak Ada",5,2,"Tidak","Akses materi daring","Sering",2,"Sulit fokus","Koneksi Internet, Kualitas Perangkat, Materi Kuliah"
"20055","M0204","Laki-laki","Teknik Pertambangan",6,3.8,3,4,"Smartphone","Google Meet",4,3,"Sering","Breakout Rooms",5,3,"Ya","Fleksibilitas waktu","Selalu",2,"Koneksi internet lambat","Koneksi Internet, Materi Kuliah, Interaksi Dosen"
"19694","M0205","Tidak ingin menyebutkan","Sains Data",6,3.4,3,2,"Laptop","Google Meet",4,2,"Kadang-kadang","Breakout Rooms",4,3,"Tidak","Bisa belajar lebih dalam","Kadang-kadang",1,"Koneksi internet lambat","Lainnya, Materi Kuliah"
"19383","M0206","Laki-laki","Teknik Perminyakan",4,2.1,2,2,"Laptop","Zoom",5,4,"Kadang-kadang","Chat",4,1,"Tidak","Akses materi daring","Jarang",3,"Kurang memahami materi sulit","Kualitas Perangkat, Interaksi Dosen, Lainnya"
"19896","M0207","Perempuan","Teknik Perminyakan",4,3.3,4,2,"Tablet","Zoom",3,5,"Jarang","Chat",3,1,"Ya","Efisiensi","Tidak Pernah",2,"Tidak bisa diskusi tatap muka","Materi Kuliah, Interaksi Dosen"
"19876","M0208","Laki-laki","Desain Produk",1,3.7,4,2,"Smartphone","Zoom",2,4,"Jarang","Tidak Ada",2,5,"Tidak","Akses materi daring","Tidak Pernah",3,"Sulit bertanya dengan bebas","Kualitas Perangkat"
"20023","M0209","Tidak ingin menyebutkan","Teknik Informatika",3,2.2,4,5,"Smartphone","Zoom",1,1,"Sering","Chat",1,4,"Tidak","Akses materi daring","Selalu",1,"Kurang interaksi","Interaksi Dosen, Lainnya"
"19910","M0210","Tidak ingin menyebutkan","Teknik Pertambangan",7,3.9,1,2,"Laptop","Zoom",5,5,"Selalu","Tidak Ada",2,1,"Ya","Bisa belajar lebih dalam","Sering",1,"Kurang interaksi","Materi Kuliah, Interaksi Mahasiswa"
"20081","M0211","Tidak ingin menyebutkan","Teknik Pertambangan",8,2.1,2,2,"Laptop","Zoom",1,4,"Sering","Chat",3,4,"Tidak","Fleksibilitas waktu","Sering",3,"Kurang interaksi","Kualitas Perangkat, Materi Kuliah"
"19747","M0212","Perempuan","Teknik Informatika",3,2.3,4,4,"Smartphone","Google Classroom",1,3,"Tidak Pernah","Tidak Ada",4,2,"Ya","Fleksibilitas waktu","Jarang",5,"Tidak bisa diskusi tatap muka","Interaksi Dosen"
"19855","M0213","Tidak ingin menyebutkan","Sains Data",7,2,2,4,"Smartphone","Google Classroom",3,3,"Tidak Pernah","Tidak Ada",2,2,"Ya","Tugas yang menarik","Tidak Pernah",3,"Tidak bisa diskusi tatap muka","Koneksi Internet"
"19579","M0214","Perempuan","Teknik Informatika",4,2.8,2,4,"Smartphone","Google Classroom",2,2,"Kadang-kadang","Tidak Ada",1,1,"Tidak","Akses materi daring","Selalu",5,"Tidak bisa diskusi tatap muka","Materi Kuliah, Interaksi Mahasiswa"
